title,artist,genres,popularity_artist,song_popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,is_swift
Afraid,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",89,76,0.464,0.701,6,-5.693,0,0.00892,0.309,0.335,0.356,83.996,251187,0
Astronomy,Conan Gray,"['bedroom pop', 'pop']",83,76,0.471,0.335,4,-8.767,0,0.593,2.11E-05,0.297,0.111,145.252,243907,0
champagne problems,Taylor Swift,['pop'],98,76,0.462,0.24,0,-12.077,1,0.92,0,0.113,0.32,171.319,244000,1
champagne problems,Taylor Swift,['pop'],98,76,0.462,0.24,0,-12.077,1,0.92,0,0.113,0.32,171.319,244000,1
Delicate,Taylor Swift,['pop'],98,76,0.75,0.404,9,-10.178,0,0.216,0.000357,0.0911,0.0499,95.045,232253,1
Getaway Car,Taylor Swift,['pop'],98,76,0.562,0.689,2,-6.745,1,0.00465,2.23E-06,0.0888,0.351,172.054,233627,1
Hot Rod,Dayglow,"['austindie', 'indie pop', 'modern rock']",74,76,0.707,0.767,7,-7.072,1,0.0279,0.000295,0.169,0.832,139.985,204014,0
Wish You Were Sober,Conan Gray,"['bedroom pop', 'pop']",83,76,0.701,0.728,2,-5.226,1,0.0178,0,0.17,0.696,91.071,168880,0
Don’t Blame Me,Taylor Swift,['pop'],98,75,0.615,0.534,9,-6.719,0,0.106,1.76E-05,0.0607,0.193,135.917,236413,1
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],98,75,0.391,0.715,0,-4.516,1,0.167,0,0.183,0.473,149.654,285107,1
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,['pop'],98,75,0.622,0.791,7,-6.106,1,0.00188,3.72E-06,0.083,0.494,115.915,225960,1
Missing Piece,Vance Joy,"['folk-pop', 'modern rock', 'pop', 'pop rock']",80,75,0.628,0.877,0,-4.205,1,0.0155,5.97E-06,0.113,0.721,101.992,217408,0
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],98,75,0.606,0.377,0,-9.455,1,0.817,0,0.154,0.446,101.96,258813,1
right where you left me - bonus track,Taylor Swift,['pop'],98,75,0.581,0.619,10,-6.524,1,0.769,0.000106,0.117,0.645,137.915,245027,1
right where you left me - bonus track,Taylor Swift,['pop'],98,75,0.581,0.619,10,-6.524,1,0.769,0.000106,0.117,0.645,137.915,245027,1
Stargazing,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",89,75,0.512,0.483,0,-7.798,1,0.00304,0.0011,0.12,0.367,160.009,217027,0
The Way I Loved You (Taylor’s Version),Taylor Swift,['pop'],98,75,0.402,0.732,5,-4.665,1,0.0033,0,0.108,0.472,161.032,243137,1
The Way I Loved You (Taylor’s Version),Taylor Swift,['pop'],98,75,0.402,0.732,5,-4.665,1,0.0033,0,0.108,0.472,161.032,243137,1
All Too Well (Taylor's Version),Taylor Swift,['pop'],98,74,0.44,0.528,0,-7.809,1,0.0171,0.00203,0.234,0.132,185.972,329160,1
Blank Space,Taylor Swift,['pop'],98,74,0.753,0.678,5,-5.421,1,0.085,1.64E-06,0.13,0.583,96.006,231827,1
Out of My League,Fitz and The Tantrums,"['indie poptimism', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",71,74,0.545,0.968,9,-3.553,0,0.0387,0.00325,0.331,0.527,169.965,209386,0
Summertime Sadness,Lana Del Rey,"['art pop', 'pop']",89,74,0.565,0.654,1,-6.826,0,0.0542,1.80E-06,0.122,0.235,111.968,265427,0
To Be So Lonely,Harry Styles,['pop'],93,74,0.758,0.436,0,-7.269,1,0.618,1.61E-05,0.335,0.605,104.959,192080,0
Afterglow,Taylor Swift,['pop'],98,73,0.756,0.449,9,-8.746,1,0.13,0,0.114,0.399,111.011,223293,1
Afterglow,Taylor Swift,['pop'],98,73,0.756,0.449,9,-8.746,1,0.13,0,0.114,0.399,111.011,223293,1
Follow You,Imagine Dragons,"['modern rock', 'rock']",93,73,0.542,0.732,9,-5.956,1,0.00209,7.92E-05,0.496,0.489,124.912,175644,0
Happiness is a butterfly,Lana Del Rey,"['art pop', 'pop']",89,73,0.467,0.119,2,-10.99,1,0.969,1.40E-06,0.0973,0.156,70.499,272485,0
Ain't No Rest for the Wicked,Cage The Elephant,"['modern rock', 'punk blues', 'rock']",79,72,0.636,0.849,0,-7.075,1,0.0438,0,0.372,0.917,156.036,175493,0
Corduroy Dreams,Rex Orange County,"['bedroom pop', 'pop']",83,72,0.608,0.305,4,-14.037,1,0.653,0,0.103,0.222,113.818,206975,0
Enchanted,Taylor Swift,['pop'],98,72,0.455,0.623,8,-3.878,1,0.0739,0.000424,0.146,0.208,163.893,352187,1
Enchanted,Taylor Swift,['pop'],98,72,0.455,0.623,8,-3.878,1,0.0739,0.000424,0.146,0.208,163.893,352187,1
Love Story (Taylor’s Version),Taylor Swift,['pop'],98,72,0.626,0.79,2,-4.302,1,0.135,3.97E-06,0.0989,0.416,119.082,235767,1
Plastic Hearts,Miley Cyrus,"['dance pop', 'pop', 'post-teen pop']",87,72,0.551,0.756,2,-4.948,1,0.0511,0,0.0765,0.618,175.984,205733,0
Remember When,Wallows,"['indie pop', 'modern rock', 'pop']",77,72,0.504,0.708,11,-5.896,0,0.00112,0.000424,0.788,0.51,82.009,155147,0
The One That Got Away,Katy Perry,"['dance pop', 'pop', 'post-teen pop']",88,72,0.691,0.795,1,-4.021,0,0.000812,1.02E-06,0.156,0.876,133.971,227333,0
@ my worst,blackbear,"['electropop', 'pop', 'pop rap']",86,71,0.615,0.774,4,-5.152,0,0.0173,0,0.15,0.336,136.887,191364,0
Gorgeous,Taylor Swift,['pop'],98,71,0.8,0.535,7,-6.684,1,0.0713,9.48E-06,0.213,0.451,92.027,209680,1
London Boy,Taylor Swift,['pop'],98,71,0.695,0.71,1,-6.639,1,0.0246,0.000104,0.133,0.557,157.925,190240,1
Spirits,The Strumbellas,"['canadian indie', 'folk-pop', 'pop rock', 'stomp and holler']",63,71,0.556,0.658,0,-6.075,1,0.164,0,0.113,0.787,80.529,203653,0
betty,Taylor Swift,['pop'],98,70,0.593,0.377,0,-8.761,1,0.6,0,0.0976,0.502,95.939,294521,1
Death By A Thousand Cuts,Taylor Swift,['pop'],98,70,0.712,0.732,4,-6.754,1,0.454,0,0.319,0.313,94.071,198533,1
Dress,Taylor Swift,['pop'],98,70,0.719,0.469,0,-8.792,1,0.0329,0,0.169,0.0851,120.085,230373,1
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,['pop'],98,70,0.498,0.61,6,-5.098,1,0.271,0,0.223,0.474,79.918,245427,1
I Think He Knows,Taylor Swift,['pop'],98,70,0.897,0.366,0,-8.029,1,0.00889,0.000353,0.0715,0.416,100.003,173387,1
