playlist,danceability,energy,acousticness,instrumentalness,liveness,valence
0,0.474,0.48,0.707,0.000108,0.0903,0.319
0,0.589,0.47,0.166,1.45E-06,0.112,0.102
0,0.532,0.708,0.435,0.0236,0.107,0.586
0,0.457,0.613,0.00463,0.000406,0.0711,0.132
0,0.553,0.841,0.000743,1.19E-05,0.341,0.338
0,0.63,0.31,0.704,0.0011,0.128,0.0712
0,0.371,0.341,0.57,3.09E-05,0.101,0.196
0,0.546,0.732,0.674,0.184,0.0972,0.571
0,0.295,0.835,1.51E-05,0.913,0.342,0.0835
0,0.559,0.452,0.00179,0.00135,0.376,0.197
0,0.445,0.83,0.0303,0.000117,0.261,0.135
0,0.529,0.67,0.117,0,0.334,0.286
0,0.453,0.953,1.67E-05,0.0825,0.106,0.446
0,0.563,0.934,0.00452,0.000807,0.103,0.518
0,0.501,0.167,0.885,0,0.111,0.356
0,0.408,0.466,0.131,4.45E-06,0.1,0.119
0,0.417,0.669,0.00329,0.000169,0.0403,0.539
0,0.422,0.321,0.76,2.33E-06,0.429,0.28
0,0.6,0.603,0.313,0,0.0872,0.379
0,0.245,0.331,0.639,0,0.105,0.101
0,0.69,0.897,0.0142,0,0.108,0.849
0,0.529,0.579,0.0198,3.18E-06,0.103,0.46
0,0.314,0.755,0.0154,0.0387,0.492,0.427
0,0.747,0.408,0.29,0,0.0721,0.666
0,0.569,0.472,0.00366,0.00275,0.0891,0.219
0,0.431,0.889,0.00633,0.0052,0.315,0.755
0,0.62,0.694,0.000325,1.89E-05,0.331,0.35
0,0.427,0.919,0.195,0.00368,0.0886,0.385
0,0.537,0.696,0.00158,3.99E-05,0.24,0.339
0,0.307,0.884,0.0678,0.00103,0.0849,0.314
0,0.574,0.89,0.0158,2.87E-05,0.0868,0.576
0,0.505,0.34,0.576,0,0.21,0.0916
1,0.905,0.563,0.0254,9.71E-06,0.113,0.324
1,0.52,0.731,0.342,0.00101,0.311,0.662
1,0.836,0.743,0.0995,0,0.335,0.722
1,0.604,0.741,0.178,3.49E-05,0.409,0.473
1,0.756,0.697,0.182,0,0.333,0.956
1,0.41,0.611,0.0228,0,0.116,0.0899
1,0.737,0.846,0.00614,0,0.0486,0.546
1,0.463,0.642,0.314,0,0.0686,0.339
1,0.761,0.525,0.44,6.70E-06,0.0921,0.531
1,0.376,0.657,0.0858,0,0.0884,0.203
1,0.824,0.764,0.0888,0.00294,0.117,0.881
1,0.87,0.516,0.656,0.00823,0.11,0.53
1,0.671,0.636,0.515,0.000411,0.172,0.262
1,0.796,0.798,0.034,4.19E-05,0.0952,0.942
1,0.591,0.764,0.0383,0,0.103,0.478
1,0.69,0.626,0.105,0.000335,0.0881,0.912
1,0.788,0.859,0.281,0,0.0424,0.822
1,0.345,0.612,0.232,0,0.194,0.232
1,0.728,0.783,0.237,0,0.434,0.555
1,0.81,0.655,0.127,8.16E-05,0.105,0.809
1,0.736,0.704,0.0203,0,0.0501,0.894
1,0.754,0.763,0.0301,2.23E-05,0.0901,0.464
1,0.614,0.644,0.0134,7.07E-06,0.117,0.651
