title,artist,genres,popularity_artist,song_popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist
Alien Blues,Vundabar,"['boston indie', 'indie garage rock']",70,35,0.464,0.682,10,-8.541,1,0.0768,0.832,0.0856,0.455,80.062,156057,1
No Lie,Sean Paul,"['dance pop', 'dancehall', 'pop', 'pop rap']",84,83,0.742,0.882,7,-2.862,1,0.0466,0,0.206,0.463,102.04,221176,1
Cigarettes out the Window,TV Girl,['indie pop'],75,75,0.625,0.659,0,-5.669,1,0.12,0,0.17,0.594,113.551,198961,1
Neon Guts (feat. Pharrell Williams),Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']",89,76,0.859,0.563,1,-6.635,0,0.0541,0,0.0685,0.412,119.934,258789,1
Love Me Back (Fayahh Beat),Trinidad Cardona,[],68,75,0.602,0.612,8,-8.115,1,0.0325,0.00943,0.147,0.692,95.161,193627,1
First Class,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'rap']",92,95,0.905,0.563,8,-6.135,1,0.0254,9.71E-06,0.113,0.324,106.998,173948,1
As It Was,Harry Styles,['pop'],94,100,0.52,0.731,6,-5.338,0,0.342,0.00101,0.311,0.662,173.93,167303,1
About Damn Time,Lizzo,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",80,83,0.836,0.743,10,-6.305,0,0.0995,0,0.335,0.722,108.966,191822,1
Ghost,Justin Bieber,"['canadian pop', 'pop']",97,83,0.604,0.741,2,-5.571,1,0.178,3.49E-05,0.409,0.473,153.947,153190,1
Bam Bam (feat. Ed Sheeran),Camila Cabello,"['dance pop', 'pop', 'post-teen pop']",89,90,0.756,0.697,8,-6.377,1,0.182,0,0.333,0.956,94.996,206071,1
MIDDLE OF THE NIGHT,Elley Duhé,"['alt z', 'pop']",81,91,0.41,0.611,4,-8.271,0,0.0228,0,0.116,0.0899,185.727,184448,1
THATS WHAT I WANT,Lil Nas X,"['lgbtq+ hip hop', 'pop']",89,90,0.737,0.846,1,-4.51,0,0.00614,0,0.0486,0.546,87.981,143901,1
WAIT FOR U (feat. Drake & Tems),Future,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",94,82,0.463,0.642,1,-4.474,1,0.314,0,0.0686,0.339,83.389,189893,1
Heat Waves,Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']",87,85,0.761,0.525,11,-6.9,1,0.44,6.70E-06,0.0921,0.531,80.87,238805,1
Thousand Miles,The Kid LAROI,['australian hip hop'],89,85,0.376,0.657,7,-4.658,1,0.0858,0,0.0884,0.203,80.565,164782,1
Woman,Doja Cat,"['dance pop', 'pop']",94,90,0.824,0.764,5,-4.175,0,0.0888,0.00294,0.117,0.881,107.998,172627,1
PROVENZA,KAROL G,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",91,86,0.87,0.516,1,-8.006,1,0.656,0.00823,0.11,0.53,111.005,210200,1
Where Are You Now,Lost Frequencies,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']",82,90,0.671,0.636,6,-8.117,0,0.515,0.000411,0.172,0.262,120.966,148197,1
Cold Heart - PNAU Remix,Elton John,"['glam rock', 'mellow gold', 'piano rock']",88,89,0.796,0.798,1,-6.312,1,0.034,4.19E-05,0.0952,0.942,116.032,202735,1
STAY (with Justin Bieber),The Kid LAROI,['australian hip hop'],89,89,0.591,0.764,1,-5.484,1,0.0383,0,0.103,0.478,169.928,141806,1
Light Switch,Charlie Puth,"['dance pop', 'pop', 'viral pop']",86,86,0.69,0.626,6,-5.693,1,0.105,0.000335,0.0881,0.912,184.009,185681,1
Shivers,Ed Sheeran,"['pop', 'uk pop']",96,10,0.788,0.859,2,-2.724,1,0.281,0,0.0424,0.822,141.02,207853,1
